,paragraf,inkraftdatum,length
46,§ 1 Einstellung von Strafverfahren und die Nachsicht von Strafen für Kämpfer gegen Nationalsozialismus und Faschismus,1946-01-20,380.0
47,§ 2 Einstellung von Strafverfahren und die Nachsicht von Strafen für Kämpfer gegen Nationalsozialismus und Faschismus,1946-01-20,192.0
48,§ 3 Einstellung von Strafverfahren und die Nachsicht von Strafen für Kämpfer gegen Nationalsozialismus und Faschismus,1946-01-20,444.0
49,§ 4 Einstellung von Strafverfahren und die Nachsicht von Strafen für Kämpfer gegen Nationalsozialismus und Faschismus,1946-01-20,223.0
50,§ 5 Einstellung von Strafverfahren und die Nachsicht von Strafen für Kämpfer gegen Nationalsozialismus und Faschismus,1946-01-20,205.0
51,§ 6 Einstellung von Strafverfahren und die Nachsicht von Strafen für Kämpfer gegen Nationalsozialismus und Faschismus,1946-01-20,121.0
52,§ 7 Einstellung von Strafverfahren und die Nachsicht von Strafen für Kämpfer gegen Nationalsozialismus und Faschismus,1946-01-20,96.0
53,§ 6 Errichtung eines Invalidenfürsorgebeirates,1946-09-11,91.0
54,§ 7 Errichtung eines Invalidenfürsorgebeirates,1946-09-11,284.0
55,§ 8 Errichtung eines Invalidenfürsorgebeirates,1946-09-11,162.0
56,§ 1 Erstes Rückstellungsgesetz,1946-09-14,1572.0
57,§ 2 Erstes Rückstellungsgesetz,1946-09-14,1467.0
58,§ 3 Erstes Rückstellungsgesetz,1946-09-14,1342.0
59,§ 4 Erstes Rückstellungsgesetz,1946-09-14,339.0
60,§ 5 Erstes Rückstellungsgesetz,1946-09-14,172.0
61,§ 6 Erstes Rückstellungsgesetz,1946-09-14,193.0
62,§ 7 Erstes Rückstellungsgesetz,1946-09-14,185.0
63,§ 3 Gerichtsorganisationsgesetz 1945,1946-01-19,1760.0
64,§ 10 Gerichtsorganisationsgesetz 1945,1946-01-19,414.0
65,§ 14b Gerichtsorganisationsgesetz 1945,1946-07-28,718.0
66,§ 14c Gerichtsorganisationsgesetz 1945,1946-07-28,493.0
67,§ 12a Geschlechtskrankheitengesetz,1946-03-31,176.0
68,§ 14 Geschlechtskrankheitengesetz,1946-03-31,734.0
69,§ 7 Handelskammergesetz,1946-10-10,224.0
70,§ 10 Handelskammergesetz,1946-10-10,289.0
71,§ 18 Handelskammergesetz,1946-10-10,443.0
72,§ 23 Handelskammergesetz,1946-10-10,179.0
73,§ 25 Handelskammergesetz,1946-10-10,107.0
74,§ 27 Handelskammergesetz,1946-10-10,402.0
75,§ 41 Handelskammergesetz,1946-10-10,2472.0
76,§ 43 Handelskammergesetz,1946-10-10,756.0
77,§ 48 Handelskammergesetz,1946-10-10,538.0
78,§ 49 Handelskammergesetz,1946-10-10,325.0
79,§ 50 Handelskammergesetz,1946-10-10,448.0
80,§ 51 Handelskammergesetz,1946-10-10,138.0
81,§ 53 Handelskammergesetz,1946-10-10,224.0
82,§ 56 Handelskammergesetz,1946-10-10,280.0
83,§ 60 Handelskammergesetz,1946-10-10,442.0
84,§ 69 Handelskammergesetz,1946-10-10,535.0
85,§ 70 Handelskammergesetz,1946-10-10,50.0
86,§ 71 Handelskammergesetz,1946-10-10,64.0
87,§ 72 Handelskammergesetz,1946-10-10,658.0
88,§ 73 Handelskammergesetz,1946-10-10,846.0
89,Art. 2 Handelskammergesetz,1946-10-10,683.0
90,§ 1 Kleinrentnergesetznovelle 1946,1946-09-14,500.0
91,§ 2 Kleinrentnergesetznovelle 1946,1946-09-14,80.0
92,§ 3 Kleinrentnergesetznovelle 1946,1946-09-14,163.0
93,§ 1 Nichtigerklärung von Rechtsgeschäften und sonstigen Rechtshandlungen,1946-07-31,424.0
94,§ 2 Nichtigerklärung von Rechtsgeschäften und sonstigen Rechtshandlungen,1946-07-31,125.0
95,§ 3 Nichtigerklärung von Rechtsgeschäften und sonstigen Rechtshandlungen,1946-07-31,185.0
96,§ 12 Notariatsordnung 1945,1946-09-01,2583.0
97,§ 10 Rechtsanwaltsordnung 1945,1946-09-14,2759.0
98,§ 13 Rechtsanwaltsordnung 1945,1946-09-14,278.0
99,§ 13 Schillinggesetz,1946-06-14,1779.0
100,§ 1 1. Rückstellungsanspruchsgesetz,1947-12-20,1587.0
101,§ 2 1. Rückstellungsanspruchsgesetz,1947-12-20,340.0
102,§ 3 1. Rückstellungsanspruchsgesetz,1947-12-20,649.0
103,§ 4 1. Rückstellungsanspruchsgesetz,1947-12-20,185.0
104,§ 9 2. Verstaatlichungsgesetz,1947-05-11,660.0
105,§ 10 2. Verstaatlichungsgesetz,1947-05-11,154.0
106,§ 1164 Allgemeines bürgerliches Gesetzbuch,1947-02-22,537.0
107,§ 1 Apothekerkammergesetz,1947-08-22,456.0
108,§ 4 Apothekerkammergesetz,1947-08-22,160.0
109,§ 6 Apothekerkammergesetz,1947-08-22,297.0
110,§ 13 Apothekerkammergesetz,1947-08-22,1458.0
111,§ 14 Apothekerkammergesetz,1947-08-22,589.0
112,§ 17 Apothekerkammergesetz,1947-08-22,915.0
113,§ 27 Apothekerkammergesetz,1947-08-22,2902.0
114,§ 15 Ärztliche Physikatsprüfungsverordnung,1947-06-03,262.0
115,§ 1 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,240.0
116,§ 2 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,470.0
117,§ 3 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,799.0
118,§ 4 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,576.0
119,§ 5 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,669.0
120,§ 6 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,223.0
121,§ 8 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,404.0
122,§ 9 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,880.0
123,§ 10 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,1582.0
124,§ 14 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,653.0
125,§ 15 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,2937.0
126,§ 16 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,695.0
127,§ 17 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,2363.0
128,§ 18 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,1011.0
129,§ 19 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,1544.0
130,§ 20 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,668.0
131,§ 21 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,550.0
132,§ 22 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-09-06,1080.0
133,§ 23 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-09-06,2297.0
134,§ 24 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,866.0
135,§ 25 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,581.0
136,§ 26 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,2615.0
137,§ 27 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,2295.0
138,§ 28 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,291.0
139,§ 29 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,212.0
140,§ 30 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,635.0
141,§ 31 Aufhebung des Erbhofrechtes und des Landbewirtschaftungsrechtes,1947-05-29,169.0
142,§ 1 Aufhebung von reichsrechtlichen Vorschriften des Vollstreckungsrechtes,1947-05-01,239.0
143,§ 2 Aufhebung von reichsrechtlichen Vorschriften des Vollstreckungsrechtes,1947-05-01,192.0
144,§ 3 Aufhebung von reichsrechtlichen Vorschriften des Vollstreckungsrechtes,1947-05-01,96.0
145,§ 8 Befreiungsamnestie,1947-09-06,455.0
146,§ 12 Befreiungsamnestie,1947-09-06,2081.0
147,§ 41 Behörden-Überleitungsgesetz,1947-09-02,428.0
148,§ 1 Drittes Rückstellungsgesetz,1947-03-28,664.0
149,§ 2 Drittes Rückstellungsgesetz,1947-03-28,1005.0
150,§ 3 Drittes Rückstellungsgesetz,1947-03-28,476.0
151,§ 4 Drittes Rückstellungsgesetz,1947-03-28,719.0
152,§ 5 Drittes Rückstellungsgesetz,1947-03-28,1285.0
153,§ 6 Drittes Rückstellungsgesetz,1947-03-28,894.0
154,§ 7 Drittes Rückstellungsgesetz,1947-03-28,539.0
155,§ 8 Drittes Rückstellungsgesetz,1947-03-28,179.0
156,§ 9 Drittes Rückstellungsgesetz,1947-03-28,528.0
157,§ 10 Drittes Rückstellungsgesetz,1947-03-28,1419.0
158,§ 11 Drittes Rückstellungsgesetz,1947-03-28,117.0
159,§ 12 Drittes Rückstellungsgesetz,1947-03-28,697.0
160,§ 13 Drittes Rückstellungsgesetz,1947-03-28,597.0
161,§ 14 Drittes Rückstellungsgesetz,1947-03-28,2132.0
162,§ 15 Drittes Rückstellungsgesetz,1947-03-28,1043.0
163,§ 16 Drittes Rückstellungsgesetz,1947-08-22,1120.0
164,§ 17 Drittes Rückstellungsgesetz,1947-03-28,1101.0
165,§ 18 Drittes Rückstellungsgesetz,1947-08-22,509.0
166,§ 19 Drittes Rückstellungsgesetz,1947-03-28,404.0
167,§ 20 Drittes Rückstellungsgesetz,1947-03-28,620.0
168,§ 21 Drittes Rückstellungsgesetz,1947-08-22,530.0
169,§ 22 Drittes Rückstellungsgesetz,1947-03-28,429.0
170,§ 23 Drittes Rückstellungsgesetz,1947-03-28,2074.0
171,§ 24 Drittes Rückstellungsgesetz,1947-03-28,547.0
172,§ 25 Drittes Rückstellungsgesetz,1947-03-28,755.0
173,§ 26 Drittes Rückstellungsgesetz,1947-03-28,592.0
174,§ 27 Drittes Rückstellungsgesetz,1947-03-28,177.0
175,§ 28 Drittes Rückstellungsgesetz,1947-03-28,572.0
176,§ 29 Drittes Rückstellungsgesetz,1947-03-28,1006.0
177,§ 30 Drittes Rückstellungsgesetz,1947-03-28,439.0
178,§ 31 Drittes Rückstellungsgesetz,1947-03-28,202.0
179,§ 1 Eheschließungen vor Funktionären der Besatzungsmächte,1947-07-01,394.0
180,§ 2 Eheschließungen vor Funktionären der Besatzungsmächte,1947-07-01,144.0
181,§ 2 Epidemiegesetz 1950,1947-08-22,1007.0
182,§ 3 Epidemiegesetz 1950,1947-08-22,1635.0
183,§ 4 Epidemiegesetz 1950,1947-08-22,105.0
184,§ 5 Epidemiegesetz 1950,1947-08-22,967.0
185,§ 6 Epidemiegesetz 1950,1947-08-22,828.0
186,§ 7 Epidemiegesetz 1950,1947-08-22,1537.0
187,§ 8 Epidemiegesetz 1950,1947-08-22,990.0
188,§ 9 Epidemiegesetz 1950,1947-08-22,569.0
189,§ 10 Epidemiegesetz 1950,1947-08-22,1098.0
190,§ 11 Epidemiegesetz 1950,1947-08-22,434.0
191,§ 12 Epidemiegesetz 1950,1947-08-22,521.0
192,§ 13 Epidemiegesetz 1950,1947-08-22,862.0
193,§ 14 Epidemiegesetz 1950,1947-08-22,213.0
194,§ 15 Epidemiegesetz 1950,1947-08-22,540.0
195,§ 16 Epidemiegesetz 1950,1947-08-22,369.0
196,§ 17 Epidemiegesetz 1950,1947-08-22,1559.0
197,§ 18 Epidemiegesetz 1950,1947-08-22,347.0
198,§ 19 Epidemiegesetz 1950,1947-08-22,377.0
199,§ 20 Epidemiegesetz 1950,1947-08-22,1541.0
200,§ 248 Allgemeines österreichisches Berggesetz,1948-04-01,188.0
201,§ 2 Berechtigung der nach reichsrechtlichen Vorschriften approbierten Zahnärzte,1948-03-14,488.0
202,§ 3 Berechtigung der nach reichsrechtlichen Vorschriften approbierten Zahnärzte,1948-03-14,562.0
203,§ 4 Berechtigung der nach reichsrechtlichen Vorschriften approbierten Zahnärzte,1948-03-14,618.0
204,§ 5 Berechtigung der nach reichsrechtlichen Vorschriften approbierten Zahnärzte,1948-03-14,422.0
205,§ 6 Berechtigung der nach reichsrechtlichen Vorschriften approbierten Zahnärzte,1948-03-14,162.0
206,§ 13 Bergarbeitergesetz,1948-04-01,196.0
207,§ 1 Börsegesetznovelle,1948-08-24,328.0
208,§ 2 Börsegesetznovelle,1948-08-24,451.0
209,§ 3 Börsegesetznovelle,1948-08-24,110.0
210,§ 4 Börsegesetznovelle,1948-08-24,547.0
211,§ 5 Börsegesetznovelle,1948-08-24,1002.0
212,§ 6 Börsegesetznovelle,1948-08-24,690.0
213,§ 7 Börsegesetznovelle,1948-08-24,471.0
214,§ 8 Börsegesetznovelle,1948-08-24,1558.0
215,§ 9 Börsegesetznovelle,1948-08-24,583.0
216,§ 10 Börsegesetznovelle,1948-08-24,165.0
217,§ 11 Börsegesetznovelle,1948-08-24,987.0
218,§ 12 Börsegesetznovelle,1948-08-24,734.0
219,§ 13 Börsegesetznovelle,1948-08-24,263.0
220,§ 14 Börsegesetznovelle,1948-08-24,374.0
221,§ 15 Börsegesetznovelle,1948-08-24,345.0
222,§ 16 Börsegesetznovelle,1948-08-24,654.0
223,§ 22 Börsegesetznovelle,1948-08-24,251.0
224,§ 25 Börsegesetznovelle,1948-08-24,326.0
225,§ 1 Börseüberleitungsgesetz,1948-08-24,1357.0
226,§ 2 Börseüberleitungsgesetz,1948-08-24,1449.0
227,§ 3 Börseüberleitungsgesetz,1948-08-24,57.0
228,§ 4 Börseüberleitungsgesetz,1948-08-24,57.0
229,§ 5 Börseüberleitungsgesetz,1948-08-24,859.0
230,§ 6 Börseüberleitungsgesetz,1948-08-24,387.0
231,§ 7 Börseüberleitungsgesetz,1948-08-24,258.0
232,§ 1 Erhöhung der Geldstrafen im Verwaltungsstrafrecht,1948-04-01,1373.0
233,§ 2 Erhöhung der Geldstrafen im Verwaltungsstrafrecht,1948-04-01,548.0
234,§ 3 Erhöhung der Geldstrafen im Verwaltungsstrafrecht,1948-04-01,198.0
235,§ 1 Fürsorge für Kriegsgräber (1. und 2. Weltkrieg),1948-09-08,225.0
236,§ 2 Fürsorge für Kriegsgräber (1. und 2. Weltkrieg),1948-09-08,389.0
237,§ 3 Fürsorge für Kriegsgräber (1. und 2. Weltkrieg),1948-09-08,338.0
238,§ 4 Fürsorge für Kriegsgräber (1. und 2. Weltkrieg),1948-09-08,240.0
239,§ 5 Fürsorge für Kriegsgräber (1. und 2. Weltkrieg),1948-09-08,250.0
240,§ 6 Fürsorge für Kriegsgräber (1. und 2. Weltkrieg),1948-09-08,813.0
241,§ 7 Fürsorge für Kriegsgräber (1. und 2. Weltkrieg),1948-09-08,633.0
242,§ 8 Fürsorge für Kriegsgräber (1. und 2. Weltkrieg),1948-09-08,97.0
243,§ 1 Fürsorge für Kriegsgräber und Kriegsdenkmäler (2. Weltkrieg),1948-09-08,850.0
244,§ 2 Fürsorge für Kriegsgräber und Kriegsdenkmäler (2. Weltkrieg),1948-09-08,402.0
245,§ 3 Fürsorge für Kriegsgräber und Kriegsdenkmäler (2. Weltkrieg),1948-09-08,338.0
246,§ 4 Fürsorge für Kriegsgräber und Kriegsdenkmäler (2. Weltkrieg),1948-09-08,239.0
247,§ 5 Fürsorge für Kriegsgräber und Kriegsdenkmäler (2. Weltkrieg),1948-09-08,413.0
248,§ 7 Fürsorge für Kriegsgräber und Kriegsdenkmäler (2. Weltkrieg),1948-09-08,166.0
249,§ 3 Herkunfts- und Gattungsbezeichnungen für Schaumweine und für gebrannte geistige Getränke,1948-04-01,1481.0
250,§ 13 Kapitalverkehrsteuergesetz,1948-04-01,1104.0
251,§ 15 Kapitalverkehrsteuergesetz,1948-04-01,595.0
252,§ 38 Kapitalverkehrsteuergesetz,1948-04-01,100.0
253,§ 7 Kautionsschutzgesetz,1948-04-01,444.0
254,§ 3 Maßnahmen auf dem Gebiete des Gerichtserlagswesens,1948-06-29,84.0
255,§ 4 Maßnahmen auf dem Gebiete des Gerichtserlagswesens,1948-06-29,151.0
256,§ 2 Pflanzenschutzgesetz,1948-07-23,2105.0
257,§ 3 Pflanzenschutzgesetz,1948-07-23,713.0
258,§ 4 Pflanzenschutzgesetz,1948-07-23,320.0
259,§ 5 Pflanzenschutzgesetz,1948-07-23,3906.0
260,§ 18 Pflanzenschutzgesetz,1948-07-23,278.0
261,§ 19 Pflanzenschutzgesetz,1948-07-23,867.0
262,§ 20 Pflanzenschutzgesetz,1948-07-23,852.0
263,§ 21 Pflanzenschutzgesetz,1948-07-23,295.0
264,§ 22 Pflanzenschutzgesetz,1948-07-23,362.0
265,Art. 1 § 10 Privat-Kraftwagenführergesetz,1948-04-01,287.0
266,§ 1 Prokuraturgesetz (Prokuratursgesetz),1948-08-24,1478.0
267,§ 1 Rechnungshofgesetz 1948,1948-08-14,1560.0
268,§ 2 Rechnungshofgesetz 1948,1948-08-14,565.0
269,§ 3 Rechnungshofgesetz 1948,1948-08-14,911.0
270,§ 4 Rechnungshofgesetz 1948,1948-08-14,654.0
271,§ 5 Rechnungshofgesetz 1948,1948-08-14,561.0
272,§ 6 Rechnungshofgesetz 1948,1948-08-14,820.0
273,§ 7 Rechnungshofgesetz 1948,1948-08-14,419.0
274,§ 8 Rechnungshofgesetz 1948,1948-08-14,325.0
275,§ 9 Rechnungshofgesetz 1948,1948-08-14,1174.0
276,§ 10 Rechnungshofgesetz 1948,1948-08-14,606.0
277,§ 11 Rechnungshofgesetz 1948,1948-08-14,2259.0
278,§ 13 Rechnungshofgesetz 1948,1948-08-14,957.0
279,§ 14 Rechnungshofgesetz 1948,1948-08-14,679.0
280,§ 16 Rechnungshofgesetz 1948,1948-08-14,202.0
281,§ 17 Rechnungshofgesetz 1948,1948-08-14,127.0
282,§ 20 Rechnungshofgesetz 1948,1948-08-14,1306.0
283,§ 22 Rechnungshofgesetz 1948,1948-08-14,560.0
284,§ 23 Rechnungshofgesetz 1948,1948-08-14,311.0
285,§ 24 Rechnungshofgesetz 1948,1948-08-14,551.0
286,§ 25 Rechnungshofgesetz 1948,1948-08-14,144.0
287,§ 26 Rechnungshofgesetz 1948,1948-08-14,317.0
288,§ 7 Religionsunterrichtsgesetz,1948-08-30,236.0
289,§ 8 Religionsunterrichtsgesetz,1948-08-30,998.0
290,§ 3 Schutz der Bezeichnung „Roquefort“ für Käse,1948-04-01,1458.0
291,§ 1 Verordnung gegen die Ausbeutung Kreditsuchender,1948-04-01,1725.0
292,§ 6 Vertragsbedienstetengesetz 1948,1948-07-01,285.0
293,§ 7 Vertragsbedienstetengesetz 1948,1948-07-01,708.0
294,§ 8 Vertragsbedienstetengesetz 1948,1948-07-01,200.0
295,§ 16 Vertragsbedienstetengesetz 1948,1948-07-01,386.0
296,§ 50 Vertragsbedienstetengesetz 1948,1948-07-01,423.0
297,§ 51 Vertragsbedienstetengesetz 1948,1948-07-01,187.0
298,§ 52 Vertragsbedienstetengesetz 1948,1948-07-01,2185.0
299,§ 55 Vertragsbedienstetengesetz 1948,1948-07-01,37.0
300,§ 90 Abgabenexekutionsordnung,1949-05-29,369.0
301,§ 91 Abgabenexekutionsordnung,1949-05-29,164.0
302,§ 1 Amtshaftungsgesetz,1949-02-01,934.0
303,§ 2 Amtshaftungsgesetz,1949-02-01,561.0
304,§ 4 Amtshaftungsgesetz,1949-02-01,316.0
305,§ 5 Amtshaftungsgesetz,1949-02-01,343.0
306,§ 8 Amtshaftungsgesetz,1949-02-01,493.0
307,§ 10 Amtshaftungsgesetz,1949-02-01,793.0
308,§ 12 Amtshaftungsgesetz,1949-02-01,977.0
309,§ 13 Amtshaftungsgesetz,1949-02-01,754.0
310,§ 14 Amtshaftungsgesetz,1949-02-01,183.0
311,§ 15 Amtshaftungsgesetz,1949-02-01,1736.0
312,§ 16 Amtshaftungsgesetz,1949-02-01,642.0
313,§ 17 Amtshaftungsgesetz,1949-02-01,84.0
314,§ 1 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,1310.0
315,§ 2 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,833.0
316,§ 3 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,401.0
317,§ 4 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,557.0
318,§ 5 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,240.0
319,§ 6 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,163.0
320,§ 7 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,472.0
321,§ 8 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,684.0
322,§ 9 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,233.0
323,§ 10 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,381.0
324,§ 11 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,181.0
325,§ 12 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,210.0
326,§ 13 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,791.0
327,§ 14 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,595.0
328,§ 15 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,459.0
329,§ 16 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,806.0
330,§ 17 Bekämpfung der übertragbaren Geschlechtskrankheiten (Deckseuchen) der Rinder,1949-02-01,116.0
331,§ 2 Börsesensale-Gesetz,1949-01-09,401.0
332,§ 3 Börsesensale-Gesetz,1949-01-09,231.0
333,§ 4 Börsesensale-Gesetz,1949-01-09,3019.0
334,§ 5 Börsesensale-Gesetz,1949-01-09,555.0
335,§ 6 Börsesensale-Gesetz,1949-01-09,419.0
336,§ 7 Börsesensale-Gesetz,1949-01-09,571.0
337,§ 8 Börsesensale-Gesetz,1949-01-09,687.0
338,§ 9 Börsesensale-Gesetz,1949-01-09,1009.0
339,§ 10 Börsesensale-Gesetz,1949-01-09,253.0
340,§ 11 Börsesensale-Gesetz,1949-01-09,749.0
341,§ 12 Börsesensale-Gesetz,1949-01-09,143.0
342,§ 13 Börsesensale-Gesetz,1949-01-09,987.0
343,§ 14 Börsesensale-Gesetz,1949-01-09,205.0
344,§ 15 Börsesensale-Gesetz,1949-01-09,259.0
345,§ 16 Börsesensale-Gesetz,1949-01-09,528.0
346,§ 17 Börsesensale-Gesetz,1949-01-09,961.0
347,§ 18 Börsesensale-Gesetz,1949-01-09,155.0
348,§ 19 Börsesensale-Gesetz,1949-01-09,386.0
349,§ 20 Börsesensale-Gesetz,1949-01-09,778.0
350,§ 21 Börsesensale-Gesetz,1949-01-09,400.0
351,§ 22 Börsesensale-Gesetz,1949-01-09,162.0
352,§ 23 Börsesensale-Gesetz,1949-01-09,125.0
353,§ 24 Börsesensale-Gesetz,1949-01-09,292.0
354,§ 25 Börsesensale-Gesetz,1949-01-09,621.0
355,§ 26 Börsesensale-Gesetz,1949-01-09,1624.0
356,§ 27 Börsesensale-Gesetz,1949-01-09,742.0
357,§ 28 Börsesensale-Gesetz,1949-01-09,114.0
358,§ 29 Börsesensale-Gesetz,1949-01-09,249.0
359,§ 2 Dentistengesetz,1949-04-21,1311.0
360,§ 16 Dentistengesetz,1949-04-21,382.0
361,§ 17 Dentistengesetz,1949-04-21,401.0
362,§ 18 Dentistengesetz,1949-04-21,610.0
363,§ 19 Dentistengesetz,1949-04-21,1687.0
364,§ 20 Dentistengesetz,1949-04-21,934.0
365,§ 22 Dentistengesetz,1949-04-21,259.0
366,§ 23 Dentistengesetz,1949-04-21,495.0
367,§ 24 Dentistengesetz,1949-04-21,367.0
368,§ 25 Dentistengesetz,1949-04-21,176.0
369,§ 26 Dentistengesetz,1949-04-21,2120.0
370,§ 27 Dentistengesetz,1949-04-21,669.0
371,§ 29 Dentistengesetz,1949-04-21,1538.0
372,§ 30 Dentistengesetz,1949-04-21,315.0
373,§ 31 Dentistengesetz,1949-04-21,405.0
374,§ 33 Dentistengesetz,1949-04-21,513.0
375,§ 36 Dentistengesetz,1949-04-21,1024.0
376,§ 37 Dentistengesetz,1949-04-21,2193.0
377,§ 1 Drittes Rückgabegesetz,1949-09-14,1187.0
378,§ 2 Drittes Rückgabegesetz,1949-09-14,682.0
379,§ 3 Drittes Rückgabegesetz,1949-09-14,961.0
